Entity,Code,Year,consumption_per_capita
China,CHN,2014,21.900000000000002
China,CHN,2015,22
China,CHN,2016,21.1
China,CHN,2017,22.2
China,CHN,2018,25.5
China,CHN,2019,25.5
China,CHN,2020,28.099999999999998
Croatia,HRV,1995,21.5
Croatia,HRV,1996,22.4
Croatia,HRV,1997,26.299999999999997
Croatia,HRV,1998,25.299999999999997
Croatia,HRV,1999,25.8
Croatia,HRV,2000,24.1
Croatia,HRV,2001,26.1
Croatia,HRV,2002,29.8
Croatia,HRV,2003,32.5
Croatia,HRV,2004,32.3
Croatia,HRV,2005,34.8
Croatia,HRV,2006,33.800000000000004
Croatia,HRV,2007,32.9
Croatia,HRV,2008,34.199999999999996
Croatia,HRV,2009,29
Croatia,HRV,2010,27.900000000000002
Croatia,HRV,2011,27.1
Croatia,HRV,2012,25.8
Croatia,HRV,2013,24.9
Croatia,HRV,2014,22.4
Croatia,HRV,2015,23.8
Croatia,HRV,2016,24.4
Croatia,HRV,2017,26.7
Croatia,HRV,2018,29.3
Croatia,HRV,2019,30.5
Croatia,HRV,2020,32.199999999999996
Cyprus,CYP,1995,48.6
Cyprus,CYP,1996,52.2
Cyprus,CYP,1997,50.800000000000004
Cyprus,CYP,1998,47.2
Cyprus,CYP,1999,46
Cyprus,CYP,2000,73.30000000000001
Cyprus,CYP,2001,62
Cyprus,CYP,2002,55.800000000000004
Cyprus,CYP,2003,64.39999999999999
Cyprus,CYP,2004,55.4
Cyprus,CYP,2005,55.2
Cyprus,CYP,2006,55
Cyprus,CYP,2007,56.6
Cyprus,CYP,2008,65.3
Cyprus,CYP,2009,59.1
Cyprus,CYP,2010,60.300000000000004
Cyprus,CYP,2011,50
Cyprus,CYP,2012,48
Cyprus,CYP,2013,41.9
Cyprus,CYP,2014,41.199999999999996
Cyprus,CYP,2015,42.6
Cyprus,CYP,2016,48.8
Cyprus,CYP,2017,42
Cyprus,CYP,2018,46.6
Cyprus,CYP,2019,44.4
Cyprus,CYP,2020,56.5
Czechia,CZE,1995,39.5
Czechia,CZE,1996,50.5
Czechia,CZE,1997,44.4
Czechia,CZE,1998,43.5
Czechia,CZE,1999,39.6
Czechia,CZE,2000,41.300000000000004
Czechia,CZE,2001,43.800000000000004
Czechia,CZE,2002,47.3
Czechia,CZE,2003,49.4
Czechia,CZE,2004,49.3
Czechia,CZE,2005,46.400000000000006
Czechia,CZE,2006,49.9
Czechia,CZE,2007,49.5
Czechia,CZE,2008,50.300000000000004
Czechia,CZE,2009,45.300000000000004
Czechia,CZE,2010,46.199999999999996
Czechia,CZE,2011,48.300000000000004
Czechia,CZE,2012,45.4
Czechia,CZE,2013,44.3
Czechia,CZE,2014,42.8
Czechia,CZE,2015,44.7
Czechia,CZE,2016,43.4
Czechia,CZE,2017,44.1
Czechia,CZE,2018,49.2
Czechia,CZE,2019,50.800000000000004
Czechia,CZE,2020,52.800000000000004
Denmark,DNK,1995,70.3
Denmark,DNK,1996,69.3
Denmark,DNK,1997,72.89999999999999
Denmark,DNK,1998,73
Denmark,DNK,1999,68.39999999999999
Denmark,DNK,2000,72.3
Denmark,DNK,2001,72.7
Denmark,DNK,2002,73.80000000000001
Denmark,DNK,2003,64.7
Denmark,DNK,2004,65.9
Denmark,DNK,2005,66.1
Denmark,DNK,2006,68.5
Denmark,DNK,2007,70.1
Denmark,DNK,2008,65.4
Denmark,DNK,2009,64.5
Denmark,DNK,2010,61.699999999999996
Denmark,DNK,2011,60
Denmark,DNK,2012,52.1
Denmark,DNK,2013,55.9
Denmark,DNK,2014,53.1
Denmark,DNK,2015,59.2
Denmark,DNK,2016,57.1
Denmark,DNK,2017,57.5
Denmark,DNK,2018,60.4
Denmark,DNK,2019,59.8
Denmark,DNK,2020,59.1
Estonia,EST,1995,37
Estonia,EST,1996,51.3
Estonia,EST,1997,45.300000000000004
Estonia,EST,1998,43.800000000000004
Estonia,EST,1999,41
Estonia,EST,2000,43.5
Estonia,EST,2001,44.3
Estonia,EST,2002,48.4
Estonia,EST,2003,51.9
Estonia,EST,2004,48.8
Estonia,EST,2005,48.2
Estonia,EST,2006,51.5
Estonia,EST,2007,55.9
Estonia,EST,2008,50.800000000000004
Estonia,EST,2009,45.300000000000004
Estonia,EST,2010,44.7
Estonia,EST,2011,46.699999999999996
Estonia,EST,2012,55.9
Estonia,EST,2013,52.3
Estonia,EST,2014,55.699999999999996
Estonia,EST,2015,53.300000000000004
Estonia,EST,2016,50.9
Estonia,EST,2017,51.400000000000006
Estonia,EST,2018,59.9
Estonia,EST,2019,54.7
Estonia,EST,2020,60
Finland,FIN,1995,68.80000000000001
Finland,FIN,1996,75.1
Finland,FIN,1997,79.6
Finland,FIN,1998,74.4
Finland,FIN,1999,76.8
Finland,FIN,2000,82.3
Finland,FIN,2001,82.89999999999999
Finland,FIN,2002,81.3
Finland,FIN,2003,92
Finland,FIN,2004,84.9
Finland,FIN,2005,88.8
Finland,FIN,2006,93.2
Finland,FIN,2007,86.7
Finland,FIN,2008,85.6
Finland,FIN,2009,84.7
Finland,FIN,2010,79.8
Finland,FIN,2011,84.2
Finland,FIN,2012,78.30000000000001
Finland,FIN,2013,79.9
Finland,FIN,2014,79.8
Finland,FIN,2015,74.7
Finland,FIN,2016,72.5
Finland,FIN,2017,72.5
Finland,FIN,2018,79.1
Finland,FIN,2019,77.2
Finland,FIN,2020,79.5
France,FRA,1995,52.3
France,FRA,1996,57.4
France,FRA,1997,52
France,FRA,1998,54.4
France,FRA,1999,55.2
France,FRA,2000,56.199999999999996
France,FRA,2001,56.9
France,FRA,2002,57.4
France,FRA,2003,58.6
France,FRA,2004,59.5
France,FRA,2005,60.5
France,FRA,2006,58.300000000000004
France,FRA,2007,57.9
France,FRA,2008,59.7
France,FRA,2009,56.199999999999996
France,FRA,2010,56.4
France,FRA,2011,57
France,FRA,2012,55.9
France,FRA,2013,55
France,FRA,2014,54.2
France,FRA,2015,53.5
France,FRA,2016,52.5
France,FRA,2017,51.8
France,FRA,2018,52.5
France,FRA,2019,52.599999999999994
France,FRA,2020,53.699999999999996
Germany,DEU,1995,56.9
Germany,DEU,1996,62.4
Germany,DEU,1997,60.6
Germany,DEU,1998,61
Germany,DEU,1999,60.4
Germany,DEU,2000,60.699999999999996
Germany,DEU,2001,60.900000000000006
Germany,DEU,2002,58
Germany,DEU,2003,59.8
Germany,DEU,2004,60
Germany,DEU,2005,60.300000000000004
Germany,DEU,2006,62.5
Germany,DEU,2007,58.8
Germany,DEU,2008,59.8
Germany,DEU,2009,57
Germany,DEU,2010,58.6
Germany,DEU,2011,58.400000000000006
Germany,DEU,2012,56.1
Germany,DEU,2013,57.4
Germany,DEU,2014,56.4
Germany,DEU,2015,55.4
Germany,DEU,2016,55.300000000000004
Germany,DEU,2017,56.7
Germany,DEU,2018,58.6
Germany,DEU,2019,56.8
Germany,DEU,2020,59.1
Greece,GRC,1995,53.8
Greece,GRC,1996,57.599999999999994
Greece,GRC,1997,55.800000000000004
Greece,GRC,1998,59.8
Greece,GRC,1999,59.5
Greece,GRC,2000,63
Greece,GRC,2001,60.8
Greece,GRC,2002,61.9
Greece,GRC,2003,63.7
Greece,GRC,2004,65.5
Greece,GRC,2005,66.60000000000001
Greece,GRC,2006,69.9
Greece,GRC,2007,71.5
Greece,GRC,2008,72.3
Greece,GRC,2009,64.30000000000001
Greece,GRC,2010,62.5
Greece,GRC,2011,58.9
Greece,GRC,2012,56
Greece,GRC,2013,50.699999999999996
Greece,GRC,2014,51.1
Greece,GRC,2015,52.4
Greece,GRC,2016,51.6
Greece,GRC,2017,56.5
Greece,GRC,2018,59.6
Greece,GRC,2019,59.7
Greece,GRC,2020,61.60000000000001
Hungary,HUN,1995,34.6
Hungary,HUN,1996,41.699999999999996
Hungary,HUN,1997,36.300000000000004
Hungary,HUN,1998,36.199999999999996
Hungary,HUN,1999,36.300000000000004
Hungary,HUN,2000,37.5
Hungary,HUN,2001,37.2
Hungary,HUN,2002,39.3
Hungary,HUN,2003,41.1
Hungary,HUN,2004,40.9
Hungary,HUN,2005,44.4
Hungary,HUN,2006,42
Hungary,HUN,2007,41.8
Hungary,HUN,2008,43.4
Hungary,HUN,2009,39.3
Hungary,HUN,2010,38.6
Hungary,HUN,2011,36.300000000000004
Hungary,HUN,2012,39.9
Hungary,HUN,2013,36.8
Hungary,HUN,2014,38.4
Hungary,HUN,2015,36
Hungary,HUN,2016,38.300000000000004
Hungary,HUN,2017,43
Hungary,HUN,2018,48.2
Hungary,HUN,2019,44.1
Hungary,HUN,2020,49.3
India,IND,1995,4.300000000000001
India,IND,1996,4.470000000000001
India,IND,1997,4.55
India,IND,1998,4.55
India,IND,1999,4.72
India,IND,2000,4.5600000000000005
India,IND,2001,4.55
India,IND,2002,4.64
India,IND,2003,4.71
India,IND,2004,4.84
India,IND,2005,5.069999999999999
India,IND,2006,5.19
India,IND,2007,5.41
India,IND,2008,5.58
India,IND,2009,6.29
India,IND,2010,6.5200000000000005
India,IND,2011,6.74
India,IND,2012,7.16
India,IND,2013,7.08
India,IND,2014,7.62
India,IND,2015,7.819999999999999
India,IND,2016,8.11
India,IND,2017,9.17
India,IND,2018,9.42
India,IND,2019,9.799999999999999
India,IND,2020,10.5
Indonesia,IDN,1995,7.300000000000001
Indonesia,IDN,1996,7.6
Indonesia,IDN,1997,7.56
Indonesia,IDN,1998,5.67
Indonesia,IDN,1999,6.430000000000001
Indonesia,IDN,2000,6.91
Indonesia,IDN,2001,6.98
Indonesia,IDN,2002,7.46
Indonesia,IDN,2003,7.199999999999999
Indonesia,IDN,2004,8.53
Indonesia,IDN,2005,8.1
Indonesia,IDN,2006,8.24
Indonesia,IDN,2007,8.15
Indonesia,IDN,2008,8.63
Indonesia,IDN,2009,9.11
Indonesia,IDN,2010,9.629999999999999
Indonesia,IDN,2011,9.700000000000001
Indonesia,IDN,2012,9.76
Indonesia,IDN,2013,9.809999999999999
Indonesia,IDN,2014,9.68
Indonesia,IDN,2015,9.45
Indonesia,IDN,2016,9.57
Indonesia,IDN,2017,9.850000000000001
Indonesia,IDN,2018,10.7
Indonesia,IDN,2019,10.9
Indonesia,IDN,2020,11.5
Ireland,IRL,1995,40.9
Ireland,IRL,1996,45.9
Ireland,IRL,1997,55.699999999999996
Ireland,IRL,1998,59.3
Ireland,IRL,1999,66.2
Ireland,IRL,2000,62.5
Ireland,IRL,2001,62.9
Ireland,IRL,2002,64
Ireland,IRL,2003,67.10000000000001
Ireland,IRL,2004,69.7
Ireland,IRL,2005,72.10000000000001
Ireland,IRL,2006,73.39999999999999
Ireland,IRL,2007,71.1
Ireland,IRL,2008,68.6
Ireland,IRL,2009,62.9
Ireland,IRL,2010,57.800000000000004
Ireland,IRL,2011,55.9
Ireland,IRL,2012,52.1
Ireland,IRL,2013,57.599999999999994
Ireland,IRL,2014,57.3
Ireland,IRL,2015,59
Ireland,IRL,2016,74.3
Ireland,IRL,2017,66.3
Ireland,IRL,2018,66.60000000000001
Ireland,IRL,2019,95.8
Ireland,IRL,2020,98.8
Italy,ITA,1995,38.9
Italy,ITA,1996,43
Italy,ITA,1997,41.300000000000004
Italy,ITA,1998,44.3
Italy,ITA,1999,45.4
Italy,ITA,2000,47.3
Italy,ITA,2001,44.7
Italy,ITA,2002,46.3
Italy,ITA,2003,47.800000000000004
Italy,ITA,2004,47.7
Italy,ITA,2005,48.300000000000004
Italy,ITA,2006,48.8
Italy,ITA,2007,47.5
Italy,ITA,2008,46.8
Italy,ITA,2009,41.699999999999996
Italy,ITA,2010,44.199999999999996
Italy,ITA,2011,42.6
Italy,ITA,2012,37.9
Italy,ITA,2013,37.3
Italy,ITA,2014,36.300000000000004
Italy,ITA,2015,36.900000000000006
Italy,ITA,2016,36.199999999999996
Italy,ITA,2017,36.900000000000006
Italy,ITA,2018,39.5
Italy,ITA,2019,38.6
Italy,ITA,2020,39.400000000000006
Japan,JPN,1995,52.2
Japan,JPN,1996,54.7
Japan,JPN,1997,53.6
Japan,JPN,1998,49.8
Japan,JPN,1999,51.8
Japan,JPN,2000,54.6
Japan,JPN,2001,52.800000000000004
Japan,JPN,2002,52
Japan,JPN,2003,52
Japan,JPN,2004,52.4
Japan,JPN,2005,52.3
Japan,JPN,2006,51.199999999999996
Japan,JPN,2007,49.4
Japan,JPN,2008,50.300000000000004
Japan,JPN,2009,45.7
Japan,JPN,2010,48.900000000000006
Japan,JPN,2011,48.099999999999994
Japan,JPN,2012,48.699999999999996
Japan,JPN,2013,46.199999999999996
Japan,JPN,2014,45.7
Japan,JPN,2015,43.900000000000006
Japan,JPN,2016,50.800000000000004
Japan,JPN,2017,46
Japan,JPN,2018,50.1
Japan,JPN,2019,53.1
Latvia,LVA,1995,24.4
Latvia,LVA,1996,25.9
Latvia,LVA,1997,30.9
Latvia,LVA,1998,32.8
Latvia,LVA,1999,33.300000000000004
Latvia,LVA,2000,34.199999999999996
Latvia,LVA,2001,32.4
Latvia,LVA,2002,32.199999999999996
Latvia,LVA,2003,35.3
Latvia,LVA,2004,38.9
Latvia,LVA,2005,37.4
Latvia,LVA,2006,41.300000000000004
Latvia,LVA,2007,136.861
Latvia,LVA,2008,84.2
Latvia,LVA,2009,41
Latvia,LVA,2010,31.099999999999998
Latvia,LVA,2011,41.9
Latvia,LVA,2012,50.5
Latvia,LVA,2013,41.699999999999996
Latvia,LVA,2014,37.2
Latvia,LVA,2015,37
Latvia,LVA,2016,33.4
Latvia,LVA,2017,37
Latvia,LVA,2018,40
Latvia,LVA,2019,40.599999999999994
Latvia,LVA,2020,42.7
Lithuania,LTU,1995,44.199999999999996
Lithuania,LTU,1996,45.599999999999994
Lithuania,LTU,1997,50.800000000000004
Lithuania,LTU,1998,56.1
Lithuania,LTU,1999,48.900000000000006
Lithuania,LTU,2000,47.800000000000004
Lithuania,LTU,2001,49.1
Lithuania,LTU,2002,53.5
Lithuania,LTU,2003,59.4
Lithuania,LTU,2004,58.699999999999996
Lithuania,LTU,2005,52.9
Lithuania,LTU,2006,52.7
Lithuania,LTU,2007,55.699999999999996
Lithuania,LTU,2008,54.1
Lithuania,LTU,2009,48.099999999999994
Lithuania,LTU,2010,33
Lithuania,LTU,2011,34.3
Lithuania,LTU,2012,35
Lithuania,LTU,2013,34.1
Lithuania,LTU,2014,36.1
Lithuania,LTU,2015,39.199999999999996
Lithuania,LTU,2016,38.4
Lithuania,LTU,2017,42
Lithuania,LTU,2018,47.800000000000004
Lithuania,LTU,2019,46.3
Lithuania,LTU,2020,50.599999999999994
Luxembourg,LUX,1995,59.4
Luxembourg,LUX,1996,68.89999999999999
Luxembourg,LUX,1997,70.5
Luxembourg,LUX,1998,81.60000000000001
Luxembourg,LUX,1999,90.60000000000001
Luxembourg,LUX,2000,100.32000000000001
Luxembourg,LUX,2001,108.412
Luxembourg,LUX,2002,110.625
Luxembourg,LUX,2003,104.08699999999999
Luxembourg,LUX,2004,104.399
Luxembourg,LUX,2005,111.778
Luxembourg,LUX,2006,105.747
Luxembourg,LUX,2007,96
Luxembourg,LUX,2008,113.026
Luxembourg,LUX,2009,106.299
Luxembourg,LUX,2010,104.31099999999999
Luxembourg,LUX,2011,102.379
Luxembourg,LUX,2012,112.953
Luxembourg,LUX,2013,119.008
Luxembourg,LUX,2014,131.506
Luxembourg,LUX,2015,132.32399999999998
Luxembourg,LUX,2016,110.503
Luxembourg,LUX,2017,115.019
Luxembourg,LUX,2018,118.16
Luxembourg,LUX,2019,121.95
Luxembourg,LUX,2020,130.787
Malta,MLT,1995,35.7
Malta,MLT,1996,45.599999999999994
Malta,MLT,1997,46.6
Malta,MLT,1998,38.300000000000004
Malta,MLT,1999,45.300000000000004
Malta,MLT,2000,48.2
Malta,MLT,2001,47.2
Malta,MLT,2002,49.9
Malta,MLT,2003,53.1
Malta,MLT,2004,53.900000000000006
Malta,MLT,2005,57.800000000000004
Malta,MLT,2006,57.1
Malta,MLT,2007,61.699999999999996
Malta,MLT,2008,60.2
Malta,MLT,2009,62.199999999999996
Malta,MLT,2010,68.10000000000001
Malta,MLT,2011,56.3
Malta,MLT,2012,55.800000000000004
Malta,MLT,2013,63.7
Malta,MLT,2014,56.4
Malta,MLT,2015,86
Malta,MLT,2016,65.2
Malta,MLT,2017,84
Malta,MLT,2018,76.3
Malta,MLT,2019,72.8
Malta,MLT,2020,69.7
Mexico,MEX,1995,16.7
Mexico,MEX,1996,17.3
Mexico,MEX,1997,18.6
Mexico,MEX,1998,19.2
Mexico,MEX,1999,19.5
Mexico,MEX,2000,20.5
Mexico,MEX,2001,20.8
Mexico,MEX,2002,20.2
Mexico,MEX,2003,19.700000000000003
Mexico,MEX,2004,20.400000000000002
Mexico,MEX,2005,21.3
Mexico,MEX,2006,21.6
Mexico,MEX,2007,21.1
Mexico,MEX,2008,20.7
Mexico,MEX,2009,18.5
Mexico,MEX,2010,17.900000000000002
Mexico,MEX,2011,19.1
Mexico,MEX,2012,19.3
Mexico,MEX,2013,19
Mexico,MEX,2014,19.2
Mexico,MEX,2015,17
Mexico,MEX,2016,14.7
Mexico,MEX,2017,17.7
Mexico,MEX,2018,20.1
Mexico,MEX,2019,21.8
Mexico,MEX,2020,21.900000000000002
Netherlands,NLD,1995,71.4
Netherlands,NLD,1996,73.80000000000001
Netherlands,NLD,1997,73
Netherlands,NLD,1998,72.89999999999999
Netherlands,NLD,1999,72.39999999999999
Netherlands,NLD,2000,77.2
Netherlands,NLD,2001,77.89999999999999
Netherlands,NLD,2002,78
Netherlands,NLD,2003,79.9
Netherlands,NLD,2004,79.6
Netherlands,NLD,2005,78
Netherlands,NLD,2006,75.6
Netherlands,NLD,2007,76.60000000000001
Netherlands,NLD,2008,77.2
Netherlands,NLD,2009,77.2
Netherlands,NLD,2010,75.6
Netherlands,NLD,2011,70
Netherlands,NLD,2012,70.7
Netherlands,NLD,2013,68.89999999999999
Netherlands,NLD,2014,66.9
Netherlands,NLD,2015,77.7
Netherlands,NLD,2016,70.3
Netherlands,NLD,2017,84.8
Netherlands,NLD,2018,71.8
Netherlands,NLD,2019,71.3
Netherlands,NLD,2020,74.6
Norway,NOR,1995,90.9
Norway,NOR,1996,73.6
Norway,NOR,1997,67.10000000000001
Norway,NOR,1998,81.5
Norway,NOR,1999,68.5
Norway,NOR,2000,71
Norway,NOR,2001,62.5
Norway,NOR,2002,65.7
Norway,NOR,2003,74.3
Norway,NOR,2004,78.1
Norway,NOR,2005,86.7
Norway,NOR,2006,89.7
Norway,NOR,2007,82.60000000000001
Norway,NOR,2008,92.7
Norway,NOR,2009,79.3
Norway,NOR,2010,90.60000000000001
Norway,NOR,2011,81.69999999999999
Norway,NOR,2012,82.5
Norway,NOR,2013,96
Norway,NOR,2014,77.7
Norway,NOR,2015,82.5
Norway,NOR,2016,76.9
Norway,NOR,2017,75.2
Norway,NOR,2018,79.2
Norway,NOR,2019,75.4
Norway,NOR,2020,78.2
Poland,POL,1995,28.099999999999998
Poland,POL,1996,32.3
Poland,POL,1997,31.099999999999998
Poland,POL,1998,28.900000000000002
Poland,POL,1999,28.900000000000002
Poland,POL,2000,28.3
Poland,POL,2001,27.900000000000002
Poland,POL,2002,27.6
Poland,POL,2003,27.3
Poland,POL,2004,27.4
Poland,POL,2005,29.099999999999998
Poland,POL,2006,29.9
Poland,POL,2007,30.599999999999998
Poland,POL,2008,33.699999999999996
Poland,POL,2009,30.599999999999998
Poland,POL,2010,30.9
Poland,POL,2011,32.5
Poland,POL,2012,31.7
Poland,POL,2013,29.200000000000003
Poland,POL,2014,29.4
Poland,POL,2015,29.200000000000003
Poland,POL,2016,28.099999999999998
Poland,POL,2017,30.1
Poland,POL,2018,31.6
Poland,POL,2019,32.6
Poland,POL,2020,32.9
Portugal,PRT,1995,28.4
Portugal,PRT,1996,28.5
Portugal,PRT,1997,29.5
Portugal,PRT,1998,32.1
Portugal,PRT,1999,34.400000000000006
Portugal,PRT,2000,35.2
Portugal,PRT,2001,35.6
Portugal,PRT,2002,35.4
Portugal,PRT,2003,35.1
Portugal,PRT,2004,35.5
Portugal,PRT,2005,37.9
Portugal,PRT,2006,35
Portugal,PRT,2007,34.3
Portugal,PRT,2008,34.3
Portugal,PRT,2009,32.1
Portugal,PRT,2010,30.800000000000004
Portugal,PRT,2011,28.799999999999997
Portugal,PRT,2012,26.400000000000002
Portugal,PRT,2013,25.299999999999997
Portugal,PRT,2014,25.2
Portugal,PRT,2015,26.9
Portugal,PRT,2016,26.9
Portugal,PRT,2017,27.3
Portugal,PRT,2018,28.3
Portugal,PRT,2019,29
Portugal,PRT,2020,30.4
Romania,ROU,1995,20.299999999999997
Romania,ROU,1996,20
Romania,ROU,1997,20.400000000000002
Romania,ROU,1998,19.2
Romania,ROU,1999,16.2
Romania,ROU,2000,16.2
Romania,ROU,2001,17.5
Romania,ROU,2002,16.7
Romania,ROU,2003,18
Romania,ROU,2004,19.1
Romania,ROU,2005,20.5
Romania,ROU,2006,22.6
Romania,ROU,2007,25.400000000000002
Romania,ROU,2008,26.7
Romania,ROU,2009,21.4
Romania,ROU,2010,21.5
Romania,ROU,2011,21.3
Romania,ROU,2012,20.5
Romania,ROU,2013,18.5
Romania,ROU,2014,18.5
Romania,ROU,2015,18.8
Romania,ROU,2016,19.2
Romania,ROU,2017,24.3
Romania,ROU,2018,28.5
Romania,ROU,2019,24.8
Romania,ROU,2020,26
Russia,RUS,1995,39.5
Russia,RUS,1996,34.3
Russia,RUS,1997,33.4
Russia,RUS,1998,30.800000000000004
Russia,RUS,1999,28.5
Russia,RUS,2000,30
Russia,RUS,2001,32.7
Russia,RUS,2002,31.4
Russia,RUS,2003,33.699999999999996
Russia,RUS,2004,35.6
Russia,RUS,2005,36.699999999999996
Russia,RUS,2006,38.4
Russia,RUS,2007,40.2
Russia,RUS,2008,42.7
Russia,RUS,2009,36.8
Russia,RUS,2010,40.1
Russia,RUS,2011,41.5
Russia,RUS,2012,44.8
Russia,RUS,2013,44.3
Russia,RUS,2014,42.9
Russia,RUS,2015,40.2
Russia,RUS,2016,40.2
Russia,RUS,2017,45
Russia,RUS,2018,42.1
Russia,RUS,2019,44.7
Russia,RUS,2020,44.9
Slovakia,SVK,1995,42.2
Slovakia,SVK,1996,36.1
Slovakia,SVK,1997,40.3
